image_name,target
ISIC_0052060,7.4045156e-06
ISIC_0052349,9.9000645e-05
ISIC_0058510,0.00021999811
ISIC_0073313,1.1286743e-05
ISIC_0073502,1.2890242e-05
ISIC_0074618,7.314631e-05
ISIC_0076801,2.6460166e-05
ISIC_0077586,0.10484755
ISIC_0082004,0.0015839542
ISIC_0082785,0.000217736
ISIC_0085332,5.15167e-07
ISIC_0087243,7.95347e-07
ISIC_0088167,0.0015479245
ISIC_0089356,8.168507e-06
ISIC_0090283,0.0024444887
ISIC_0092481,4.5032048e-06
ISIC_0095455,5.6123497e-07
ISIC_0095790,6.072953e-06
ISIC_0097719,0.3559843
ISIC_0099348,0.003515028
ISIC_0101040,0.0031207216
ISIC_0101383,2.2803906e-05
ISIC_0105104,0.0026954825
ISIC_0108196,0.00012504765
ISIC_0112420,0.1712948
ISIC_0114232,1.4111191e-07
ISIC_0115798,0.0012446193
ISIC_0116844,2.6387997e-07
ISIC_0126432,0.007088746
ISIC_0131485,6.080102e-07
ISIC_0131912,4.3850185e-05
ISIC_0131978,1.0418103e-06
ISIC_0139322,0.011990162
ISIC_0142066,0.06757196
ISIC_0143109,1.5986285e-06
ISIC_0148210,0.001432278
ISIC_0148937,0.003328342
ISIC_0150213,0.0007767052
ISIC_0152553,1.0825886e-06
ISIC_0153127,0.0033010559
ISIC_0154289,0.00010407183
ISIC_0155813,0.0014813782
ISIC_0155983,0.058504336
ISIC_0157088,0.0005509693
ISIC_0158761,0.00011871932
ISIC_0161963,0.020769285
ISIC_0165178,0.0003029678
ISIC_0165230,3.2283104e-05
ISIC_0165615,0.00022053577
ISIC_0165617,1.1679051e-06
ISIC_0165674,1.082476e-05
ISIC_0165928,1.1137253e-05
ISIC_0166561,0.0025257901
ISIC_0168125,6.85672e-05
ISIC_0169378,0.00070487155
ISIC_0169575,4.2029733e-05
ISIC_0169906,0.040576912
ISIC_0171865,0.0018015855
ISIC_0172678,1.1957532e-06
ISIC_0174800,0.00021248717
ISIC_0175014,0.0023784793
ISIC_0175798,0.06698085
ISIC_0176152,0.0036147737
ISIC_0177083,8.650309e-05
ISIC_0178235,0.21857838
ISIC_0178258,0.0034679337
ISIC_0178428,0.00079938467
ISIC_0178741,0.0065973112
ISIC_0180057,0.0034864752
ISIC_0182213,0.012653712
ISIC_0183334,0.00023639825
ISIC_0183449,0.21551384
ISIC_0183658,3.1140858e-06
ISIC_0183771,0.00054071343
ISIC_0186715,0.0007890476
ISIC_0187786,2.7430406e-06
ISIC_0188485,0.0007788641
ISIC_0191895,0.0022876514
ISIC_0192184,0.0010323476
ISIC_0192807,0.0008749082
ISIC_0193289,0.32468596
ISIC_0194115,0.0003685912
ISIC_0195744,0.01306566
ISIC_0195995,0.0020113052
ISIC_0196159,0.0077430853
ISIC_0196622,0.0011933773
ISIC_0196807,0.0013303576
ISIC_0197182,6.2951403e-06
ISIC_0197440,0.02469313
ISIC_0197860,0.0004064401
ISIC_0198376,6.7930014e-06
ISIC_0198622,0.00039112722
ISIC_0199195,1.7399623e-06
ISIC_0199718,5.909129e-05
